dias,data,trat,bloco,NO3,NH4,EPSA,Tsolo,N2O,l1,l2,l3,l4,
0,1,S,1,1.779526249,20.36991048,53.47459087,18.3,0.60252125,,,,,
0,1,S,2,2.297423116,25.51142007,55.70244114,18.6,1.99359,,,,,
0,1,S,3,2.51887246,28.08450045,51.50649108,19,0.233404292,,,,,
0,1,17%,1,2.306318572,27.03202174,49.3491464,19.3,-0.79868,,,,,
0,1,17%,2,2.412689861,25.09305366,48.70722957,19.2,3.054164,,,,,
0,1,17%,3,27.69509316,29.49383173,52.001358,23.2,2.924713,,,,,
0,1,46%,1,10.14720727,111.9666196,68.07077612,19.8,4.550383,,,,,
0,1,46%,2,5.488353682,57.86497879,65.29941793,20.2,0.262815,,,,,
0,1,46%,3,2.617133998,30.02411811,64.2580121,16.4,8.09445,,,,,
0,1,75%,1,4.985276104,48.15203536,71.52893849,20.3,7.212867,,,,,
0,1,75%,2,2.586355521,27.46319023,62.56382628,20.8,2.883231,,,,,
0,1,75%,3,5.335728105,57.73188927,62.96471133,22.8,19.00451,,,,,
0,1,CE,1,7.389664,66.7245,36.45419,17.5,2.0491,,,,,
4,2,S,1,7.948358815,19.56774703,58.19914,18.5,0.121950667,,,,,
4,2,S,2,7.948396401,21.2767694,55.07242,20.5,-1.8948,,,,,
4,2,S,3,3.592323224,26.39283224,50.78783,20.2,-2.2183375,,,,,
4,2,17%,1,5.42197172,17.86643284,24.23470,20.5,5.046067,,,,,
4,2,17%,2,1.621732514,25.34533796,54.68799,19,-0.51249,,,,,
4,2,17%,3,8.909332606,24.28491152,57.21985,19,-3.39867,,,,,
4,2,46%,1,2.602752025,18.95426028,76.24010,19,6.105363,,,,,
4,2,46%,2,7.787219435,44.67773086,76.34457,19.7,4.332967,,,,,
4,2,46%,3,15.58016668,32.76993302,78.25705,18,10.89566,,,,,
4,2,75%,1,2.320225044,28.34742388,79.33819,19.3,22.79203,,,,,
4,2,75%,2,2.065248122,13.0593963,77.47508,19,3.499895,,,,,
4,2,75%,3,0.822880779,26.29307377,97.52593,19,13.59895,,,,,
4,2,CE,1,0.435102,35.53919,26.62316,18.5,3.561,,,,,
12,3,S,1,8.273849181,139.1787716,49.4000023,17.7,-0.1523575,,,,,
12,3,S,2,8.721729508,60.11030449,55.20109665,18.8,2.45633,,,,,
12,3,S,3,4.327053112,32.2697467,44.8424623,21.5,2.0892025,,,,,
12,3,17%,1,6.087846258,196.2666153,54.97999864,21.5,2.768683,,,,,
12,3,17%,2,10.6763115,33.50875544,56.31152777,20.5,1.744266,,,,,
12,3,17%,3,4.650212503,47.71663415,59.21591712,19.8,0.588435,,,,,
12,3,46%,1,23.05142975,235.167237,60.24419035,19.8,6.994304,,,,,
12,3,46%,2,4.539409924,96.94082473,61.87868907,18.5,0.076636,,,,,
12,3,46%,3,14.34199236,65.8504375,66.17306673,19.8,13.57482,,,,,
12,3,75%,1,2.106918085,57.13103844,67.04644951,18.8,1.613677,,,,,
12,3,75%,2,1.386757482,37.31407883,61.4686043,19.5,0.24172,,,,,
12,3,75%,3,2.838311375,25.95702844,62.89018638,19.5,7.393163,,,,,
12,3,CE,1,0.346495,61.37858,39.63759,21.5,3.1229,,,,,
14,4,S,1,7.049610358,40.09536895,49.76453488,17,-0.322285,,,,,
14,4,S,2,5.778476453,42.58340821,52.18329626,18.8,1.526077083,,,,,
14,4,S,3,2.931269366,30.47100492,42.25234373,21.8,-1.5313,,,,,
14,4,17%,1,3.329025585,38.95730703,57.97913364,19.5,1.863584,,,,,
14,4,17%,2,3.104010248,24.01369276,48.3899266,19.5,1.757824,,,,,
14,4,17%,3,2.586912259,41.15113985,54.96977978,19,4.433454,,,,,
14,4,46%,1,5.319319214,54.79093937,70.26860638,19.3,4.977175,,,,,
14,4,46%,2,1.231783468,68.93591322,70.1205925,19,1.035627,,,,,
14,4,46%,3,3.307678104,49.90976827,74.89482803,20,14.33113,,,,,
14,4,75%,1,2.539582857,44.35041889,76.9600336,20.5,6.398067,,,,,
14,4,75%,2,1.882797425,40.07002436,74.91491368,19.5,0.252733,,,,,
14,4,75%,3,2.047539806,60.72448842,73.78224126,19.8,13.26755,,,,,
14,4,CE,1,0.438334,77.9134,38.7327941,17,5.7607,,,,,
25,5,S,1,7.996760562,105.1023863,53.92038093,17.5,-2.998058333,,,,,
25,5,S,2,5.889776455,132.0260423,51.39763872,19.2,0.273133333,,,,,
25,5,S,3,9.230875026,176.7781423,47.9986225,18.5,4.027910417,,,,,
25,5,17%,1,1.674297004,212.3587972,77.47508306,15.8,1.077569,,,,,
25,5,17%,2,4.288875198,163.2546115,59.93835687,18.5,-1.42028,,,,,
25,5,17%,3,3.733360926,132.5430148,55.3095987,18.8,-3.89103,,,,,
25,5,46%,1,1.733206416,111.4130875,75.76580192,18.5,4.137039,,,,,
25,5,46%,2,1.086029157,47.67241999,77.59440218,19.1,2.895272,,,,,
25,5,46%,3,5.128482582,180.8520446,77.3952237,17,5.6062,,,,,
25,5,75%,1,1.125558476,171.5984925,79.68427166,18.3,7.314358,,,,,
25,5,75%,2,1.764765718,149.0948229,68.62106676,19,7.7482,,,,,
25,5,75%,3,4.27553281,165.4641298,78.23727342,18.3,2.558119,,,,,
25,5,CE,1,0.142356,13.57063,41.70593,16.5,2.3475,,,,,
34,6,S,1,7.566936198,38.57996923,37.58072871,18.5,2.81288625,,,,,
34,6,S,2,3.905308753,136.608542,41.77642541,18.8,-2.890395833,,,,,
34,6,S,3,4.910615964,379.5274763,39.59590123,19.8,-5.838458333,,,,,
34,6,17%,1,0.5053751,149.095276,47.66,18.5,1.060957,,,,,
34,6,17%,2,1.599532167,99.09913491,42.31542681,18,-3.18449,,,,,
34,6,17%,3,12.88317694,79.01088957,52.99756892,18.6,-2.25535,,,,,
34,6,46%,1,0.956073681,195.0650862,66.80592585,17,1.954368,,,,,
34,6,46%,2,0.615839839,189.8637284,66.92835846,18,3.352065,,,,,
34,6,46%,3,2.541545274,167.5758365,14.08256129,17.3,4.923271,,,,,
34,6,75%,1,0.719296147,197.6704993,74.59833047,18.6,3.308137,,,,,
34,6,75%,2,1.659548356,220.5946494,77.51154425,18.6,-0.5938,,,,,
34,6,75%,3,0.702480035,223.7608467,69.46973889,18,1.423051,,,,,
34,6,CE,1,1.217709,412.8619,38.46384,,-1.0509,,,,,
46,7,S,1,4.54324051,110.2201477,41.57092436,20,-1.5603125,,,,,
46,7,S,2,15.65443306,53.57085128,40.8682817,20,-3.356825,,,,,
46,7,S,3,1.819438868,123.1819983,44.21636659,21,-2.47515,,,,,
46,7,17%,1,6.007775361,118.4669239,45.17774469,20,-1.45978,,,,,
46,7,17%,2,8.096341736,76.22916756,41.88483888,20.3,10.17629,,,,,
46,7,17%,3,54.20802962,404.6826946,47.12053481,21.3,3.220943,,,,,
46,7,46%,1,4.107987255,119.045724,61.27018822,20,1.928915,,,,,
46,7,46%,2,3.464558009,82.51488525,63.85146839,20,-0.96242,,,,,
46,7,46%,3,2.04271153,85.85349839,67.14507198,20.5,6.689125,,,,,
46,7,75%,1,0.962601796,86.45823546,70.7446939,21.5,8.506446,,,,,
46,7,75%,2,0.33,75.19447766,70.701678,22.5,-1.73455,,,,,
46,7,75%,3,1.037778133,43.83454932,67.09260996,21.8,6.094729,,,,,
46,7,CE,1,0.33558,288.9648,39.98849,19,-2.1878,,,,,
57,8,S,1,7.082019143,429.2009424,35.10617573,26,-24.89116667,,,,,
57,8,S,2,3.049145668,211.3381561,35.66175588,23,16.63625417,,,,,
57,8,S,3,1.695926377,246.7195028,38.0096717,24.3,-4.3495,,,,,
57,8,17%,1,1.526812588,193.5658757,39.1425352,25.6,-20.4842,,,,,
57,8,17%,2,2.455993522,153.7304728,39.22551001,26.8,16.21637,,,,,
57,8,17%,3,5.284910846,201.5187715,37.7954452,29.2,1.973053,,,,,
57,8,46%,1,0.646755513,196.7198812,54.88372093,26.2,-28.084,,,,,
57,8,46%,2,1.83855712,253.3486735,56.67170179,24.8,0.455108,,,,,
57,8,46%,3,0.193821997,158.293704,57.037081,22.3,-2.38215,,,,,
57,8,75%,1,0.440522588,155.4259699,61.01853605,23.3,35.71083,,,,,
57,8,75%,2,2.220769648,192.1834529,59.01122169,23.3,80.88308,,,,,
57,8,75%,3,0.086098459,252.4854297,70.08432026,21.3,5.852138,,,,,
57,8,CE,1,0.132533,266.8647,34.54111,20.5,-5.914883599,,,,,
60,9,S,1,4.483424873,140.914942,38.51444593,23.3,16.31729167,,,,,
60,9,S,2,7.209380215,159.56511,40.80727078,25.6,-11.67716667,,,,,
60,9,S,3,6.806730341,208.8760196,35.82581391,25.6,25.49317917,,,,,
60,9,17%,1,1.205958562,289.0815482,47.35412454,22.6,-8.79821,,,,,
60,9,17%,2,3.439000059,192.2908409,41.5612874,22.3,54.28275,,,,,
60,9,17%,3,9.94378851,191.3198895,41.56735008,23.3,84.51121,,,,,
60,9,46%,1,1.781326017,151.0312798,57.67985639,22.6,-2.10503,,,,,
60,9,46%,2,0.729795931,72.62982684,53.02535766,23,19.35734,,,,,
60,9,46%,3,1.614632355,189.9605433,50.87079262,23,6.0103,,,,,
60,9,75%,1,0.686493507,207.2062152,64.29933127,24,7.85045,,,,,
60,9,75%,2,0.930054302,147.2685023,62.35842693,23.3,-4.54408,,,,,
60,9,75%,3,0.96499851,200.8869963,62.24909012,22.6,-0.69698,,,,,
